time,c0,c1,v0,v1,i0,i1,cpu_uj,sys_uj
0.00328397750854,99,72,8740000,7718000,0,2155000,351160661,386326769
1.0072479248,99,72,8740000,7727000,0,2107000,360223565,394111539
2.01122093201,99,72,8740000,7694000,0,2283000,369106476,401669809
3.01779484749,99,72,8741000,7727000,0,2241000,381256043,411238327
4.02121901512,99,72,8741000,7556000,0,3165000,390632300,419007472
5.02722382545,99,72,8741000,7749000,0,1892000,399528029,426267036
6.03223991394,99,72,8740000,7698000,0,2068000,408132255,433282948
7.03679704666,99,72,8740000,7704000,0,2073000,415848849,439948702
8.04321193695,99,72,8740000,7790000,0,1821000,423705946,447245131
9.04814982414,99,72,8740000,7746000,0,2003000,430669856,453753293
10.0531630516,99,72,8740000,7703000,0,2029000,436680888,459597212
11.0581908226,99,72,8740000,7734000,0,1759000,442741298,465541593
12.063616991,99,72,8740000,7727000,0,1699000,448131360,470872756
13.0693199635,99,72,8740000,7767000,0,1423000,453880246,476358521
14.0748999119,99,72,8740000,7778000,0,1437000,457936938,481017445
15.0785520077,99,72,8740000,7803000,0,1381000,461526833,485214150
16.0845179558,99,72,8740000,7816000,0,1257000,466601466,490251003
17.0905549526,99,72,8740000,7841000,0,1279000,468495321,492803670
18.0965960026,99,72,8740000,7866000,0,977000,472665354,497111947
19.1027610302,99,72,8740000,7866000,0,1073000,474998051,500163148
20.1142709255,99,72,8740000,7898000,0,848000,476086366,501937985
21.1210889816,99,72,8740000,7924000,0,710000,477041747,503307122
22.1301529408,99,72,8740000,7926000,0,697000,478051449,504875050
23.1377470493,99,72,8740000,7910000,0,752000,479328423,506827804
24.1473889351,99,72,8740000,7909000,0,789000,480632192,508867288
25.156069994,99,72,8740000,7799000,0,1278000,484652262,513123808
26.166009903,99,72,8740000,7896000,0,885000,486562536,515771262
27.1773729324,99,72,8740000,7901000,0,860000,488000825,517976396
28.1878149509,99,72,8740000,7890000,0,860000,489783169,520556833
29.1939709187,99,72,8740000,7911000,0,818000,493543658,524496643
30.1976339817,99,72,8740000,7777000,0,1516000,502089718,531660687
31.2033669949,99,72,8740000,7715000,0,2131000,506784408,536440155
32.2100329399,99,72,8740000,7803000,0,1201000,511499789,541207843
33.216999054,99,72,8740000,7801000,0,1380000,518703200,547563234
34.2202310562,99,72,8740000,7729000,0,1946000,525890743,553938157
35.2295649052,99,72,8740000,7782000,0,1622000,528159231,556989174
36.2383320332,99,72,8740000,7862000,0,912000,529570482,558951327
37.2454409599,99,72,8740000,7915000,0,665000,530111741,559722260
38.257463932,99,72,8740000,7943000,0,553000,530673018,560393768
39.264649868,99,72,8740000,7941000,0,564000,531370221,561272855
40.2724699974,99,72,8740000,7946000,0,569000,532572183,562793236
41.2777118683,99,72,8740000,7892000,0,781000,534395421,565315813
42.2843449116,99,72,8740000,7920000,0,730000,535969697,567420910
43.2912089825,99,72,8740000,7922000,0,790000,537303250,569407783
44.298719883,99,72,8740000,7931000,0,717000,538789331,571470582
45.3091309071,99,72,8740000,7878000,0,986000,541637285,575077080
