time,c0,c1,v0,v1,i0,i1,cpu_uj,sys_uj
0.00111699104309,93,57,8591000,7502000,0,1226000,8617553805,9453645659
1.0078701973,93,57,8591000,7515000,0,1160000,8620858667,9457240010
2.01613306999,93,57,8592000,7526000,0,1137000,8626354991,9462533881
3.02316808701,93,57,8592000,7437000,0,1520000,8631223082,9467387201
4.02946996689,93,57,8592000,7481000,0,1477000,8639573585,9474610693
5.03321504593,93,57,8592000,7328000,0,2145000,8647599199,9481327290
6.0435590744,93,57,8591000,7341000,0,1987000,8651534980,9485447396
7.05404806137,93,57,8591000,7498000,0,1168000,8654502685,9488608094
8.06439113617,93,57,8592000,7538000,0,1002000,8657447014,9491756645
9.07205605507,93,57,8592000,7543000,0,995000,8660931685,9495693830
10.0801751614,93,57,8591000,7506000,0,1203000,8663874121,9498845250
11.0900909901,93,57,8592000,7540000,16000,1001000,8667731350,9502503871
12.1002299786,93,-9999,8427000,0,1616000,0,8676134527,9508845225
13.1038560867,93,-9999,8516000,0,623000,0,8678271911,9510933171
14.1069171429,93,-9999,8515000,0,574000,0,8680337641,9513025634
15.1103270054,93,-9999,8502000,0,710000,0,8682948413,9515801689
16.1139411926,93,-9999,8514000,0,579000,0,8685017072,9517885973
17.1173121929,93,-9999,8516000,0,568000,0,8687097572,9519918133
18.1205821037,93,-9999,8518000,0,571000,0,8689165072,9521974036
19.1222150326,93,-9999,8436000,0,1104000,0,8696560073,9527852317
20.1244130135,93,-9999,8469000,0,1107000,0,8700373112,9531285719
21.1275579929,93,-9999,8495000,0,718000,0,8703366574,9533799751
22.1309030056,93,-9999,8495000,0,750000,0,8706387440,9536264832
23.1351201534,93,57,8499000,7793000,726000,0,8709387432,9538907465
24.1376340389,93,57,8499000,7794000,656000,11000,8712583957,9542110398
25.1417701244,93,57,8572000,7597000,62000,1011000,8716088282,9545836951
26.1448640823,93,57,8576000,7429000,0,1652000,8724408207,9552735432
27.150509119,93,57,8577000,7381000,0,-2032000,8732321822,9559430972
28.1593101025,93,57,8577000,7483000,0,1577000,8736653598,9563872611
29.1651940346,93,57,8578000,7551000,0,1114000,8740014490,9567346296
30.173664093,93,57,8579000,7478000,0,1339000,8744820813,9572101593
31.1810741425,93,57,8579000,7509000,0,1326000,8748187443,9575854636
32.1922180653,93,57,8580000,7557000,0,1064000,8751770503,9579484631
33.1982860565,93,57,8580000,7536000,0,1228000,8757322002,9584528258
34.2044360638,93,57,8580000,7419000,0,1724000,8763581324,9590221725
35.2086381912,93,57,8581000,7468000,0,1503000,8768231093,9594928622
36.213034153,93,57,8581000,7454000,0,1455000,8772755739,9599583823
37.2199590206,93,57,8581000,7509000,0,1184000,8777136221,9603946605
38.2267999649,93,57,8582000,7467000,0,1492000,8782504250,9609077634
39.2326860428,93,57,8582000,7381000,0,1771000,8791210526,9616217325
40.241268158,93,57,8582000,7343000,0,2094000,8798283323,9622324365
41.2556130886,93,57,8583000,7493000,0,1419000,8802558581,9626941602
42.2681601048,93,57,8583000,7431000,0,1558000,8807461095,9631705262
43.2774820328,93,57,8583000,7439000,0,1427000,8812856711,9636848498
44.2823340893,93,57,8583000,7498000,0,1372000,8816997753,9641079017
45.2869911194,93,57,8583000,7472000,0,1281000,8821268677,9645325039
46.2925481796,93,57,8584000,7456000,0,1379000,8826463366,9650737012
47.3013641834,93,57,8584000,7450000,0,1510000,8829974709,9654534549
48.3086371422,93,57,8584000,7491000,0,1188000,8834529629,9659131278
49.3168771267,93,57,8584000,7475000,0,1241000,8838257403,9663016766
50.3262331486,93,57,8584000,7499000,0,1151000,8841515268,9666489169
51.3333389759,93,57,8585000,7536000,0,1048000,8844928589,9670359460
52.3422391415,93,57,8585000,7536000,0,1129000,8847809685,9673443924
53.3506681919,93,57,8585000,7545000,0,997000,8853363870,9678797304
54.3623781204,93,57,8585000,7439000,0,1718000,8857883878,9683465566
55.3728711605,93,57,8586000,7488000,0,1245000,8862520646,9688102273
56.3815751076,93,57,8586000,7471000,0,1375000,8865999947,9691846648
57.3968930244,93,57,8586000,7496000,0,1215000,8870058896,9696329791
58.4101781845,93,57,8586000,7512000,0,1278000,8873222096,9699633066
59.4214580059,93,57,8586000,7551000,0,992000,8876266705,9702850038
60.4301841259,93,57,8586000,7384000,0,1633000,8884341696,9709610458
61.4358391762,93,57,8586000,7348000,0,2026000,8892149782,9716274625
62.4410300255,93,57,8586000,7402000,0,1702000,8896662405,9720942582
63.4488589764,93,57,8587000,7516000,0,1093000,8899753034,9724274422
64.4571611881,93,57,8586000,7536000,0,1012000,8902705663,9727420654
65.4640641212,93,57,8586000,7544000,0,998000,8905641080,9730558952
66.4722771645,93,57,8587000,7538000,0,1019000,8908533712,9733663558
67.4813799858,93,57,8587000,7542000,0,1007000,8911585767,9737024938
68.4871621132,93,57,8587000,7513000,0,1163000,8916741150,9741973900
69.4972150326,93,57,8587000,7423000,0,1684000,8922079576,9746953685
70.5042920113,93,57,8587000,7509000,0,1234000,8926775365,9751497802
71.5111711025,93,57,8588000,7485000,0,1377000,8930482753,9755240895
72.5203909874,93,57,8587000,7523000,0,1092000,8933754595,9758925151
73.5310940742,93,57,8587000,7497000,0,1209000,8936935617,9762594880
74.5398850441,93,57,8588000,7539000,0,1041000,8939806520,9765697778
75.5515949726,93,57,8588000,7545000,0,1004000,8942690607,9768747758
76.5591740608,93,57,8588000,7542000,0,980000,8945568896,9771809273
77.5673999786,93,57,8588000,7546000,0,986000,8948690897,9775301269
78.573182106,93,57,8588000,7503000,0,1191000,8951829256,9778839834
79.5806481838,93,57,8588000,7546000,0,1000000,8954701502,9781875837
80.5898160934,93,57,8588000,7551000,0,984000,8957573504,9784935949
81.5978980064,93,57,8588000,7543000,0,1009000,8960464671,9788031522
82.6061160564,93,57,8588000,7548000,0,986000,8963677370,9791331379
83.611353159,93,-9999,8470000,0,956000,0,8970376877,9796879399
84.6171040535,93,-9999,8513000,0,783000,0,8973458351,9799845151
85.6203169823,93,-9999,8520000,0,579000,0,8975521212,9801843132
86.6238760948,93,-9999,8521000,0,568000,0,8977572598,9803813525
87.6270470619,93,-9999,8454000,0,1021000,0,8982974623,9808131873
88.6294491291,93,-9999,8471000,0,1255000,0,8988255432,9812721095
89.6336929798,93,-9999,8381000,0,1363000,0,8995445233,9818387767
90.6358230114,92,-9999,8425000,0,1184000,0,9001851711,9823431211
91.6408991814,92,-9999,8380000,0,1671000,0,9011381349,9830455180
92.6453201771,92,-9999,8368000,0,1654000,0,9017561631,9835424101
93.6483941078,92,-9999,8498000,0,718000,0,9019686382,9837487816
94.6525301933,92,-9999,8504000,0,563000,0,9022137669,9840083512
95.6573030949,92,-9999,8498000,0,664000,0,9024149383,9842011669
96.6615791321,92,-9999,8500000,0,567000,0,9026206507,9844017096
97.6651129723,92,-9999,8502000,0,666000,0,9032428170,9848982110
98.6673181057,92,-9999,8452000,0,1221000,0,9037707149,9853386701
99.670333147,92,-9999,8458000,0,1058000,0,9041852890,9857361972
100.673542023,92,-9999,8483000,0,836000,0,9044408303,9859744290
101.677124023,92,-9999,8496000,0,637000,0,9046903719,9862022970
102.679970026,92,-9999,8498000,0,628000,0,9049393642,9864281265
103.68303299,92,-9999,8497000,0,631000,0,9051866170,9866522165
104.685566187,92,-9999,8498000,0,629000,0,9054464491,9868989200
105.688384056,92,-9999,8477000,0,737000,0,9057268866,9871706234
106.691626072,92,-9999,8496000,0,646000,0,9059768738,9873994497
107.694200993,92,-9999,8491000,0,647000,0,9062281915,9876322983
108.697055101,92,-9999,8496000,0,631000,0,9064767687,9878601846
109.699345112,92,-9999,8492000,0,635000,0,9067340557,9881011081
110.702497959,92,-9999,8471000,0,744000,0,9070193394,9883822414
111.70712018,92,-9999,8492000,0,642000,0,9072688138,9886142416
