time,c0,c1,v0,v1,i0,i1
1520752843.88,82,5,8097000,7379000,775000,0
1520752844.89,82,5,8092000,7379000,682000,0
1520752845.9,82,5,8097000,7379000,604000,0
1520752846.91,82,5,8076000,7379000,773000,0
1520752847.91,82,5,8077000,7379000,848000,0
1520752848.92,82,5,8032000,7379000,1007000,0
1520752849.93,82,5,8079000,7379000,734000,0
1520752850.94,82,5,8106000,7379000,648000,0
1520752851.94,82,5,8041000,7379000,905000,0
1520752852.95,82,5,8032000,7379000,696000,0
1520752853.96,82,5,8107000,7379000,698000,0
1520752854.97,82,5,8096000,7379000,687000,0
1520752855.97,82,5,8102000,7379000,737000,0
1520752856.98,82,5,8102000,7379000,577000,0
1520752857.99,82,5,8105000,7379000,558000,0
1520752858.99,81,5,8103000,7379000,721000,0
1520752860.0,81,5,8103000,7379000,618000,0
1520752861.01,81,5,8103000,7379000,605000,0
1520752862.02,81,5,8106000,7379000,542000,0
1520752863.03,81,5,8103000,7379000,553000,0
1520752864.04,81,5,8111000,7379000,554000,0
1520752865.04,81,5,8109000,7380000,520000,0
1520752866.05,81,5,8114000,7380000,544000,0
1520752867.06,81,5,8108000,7380000,661000,0
1520752868.07,81,5,8110000,7380000,560000,0
1520752869.08,81,5,8105000,7380000,616000,0
1520752870.09,81,5,8115000,7380000,516000,0
1520752871.09,81,5,8116000,7380000,498000,0
1520752872.1,81,5,8119000,7380000,483000,0
1520752873.11,81,5,8123000,7380000,456000,0
1520752874.12,81,5,8100000,7380000,644000,0
1520752875.13,81,5,8059000,7380000,741000,0
1520752876.14,81,5,8001000,7380000,1406000,0
1520752877.14,81,5,8112000,7380000,535000,0
1520752878.15,81,5,8120000,7380000,465000,0
1520752879.16,81,5,8100000,7380000,724000,0
1520752880.17,81,5,8113000,7380000,547000,0
1520752881.18,81,5,8100000,7380000,584000,0
1520752882.18,81,5,8116000,7380000,537000,0
1520752883.19,81,5,8108000,7380000,567000,0
1520752884.2,81,5,8114000,7380000,497000,0
1520752885.2,81,5,8117000,7380000,459000,0
1520752886.21,81,5,8118000,7380000,453000,0
1520752887.22,81,5,8112000,7380000,474000,0
1520752888.22,81,5,8104000,7380000,607000,0
1520752889.23,81,5,8103000,7380000,607000,0
1520752890.25,81,5,8113000,7380000,529000,0
1520752891.26,81,5,8113000,7380000,583000,0
1520752892.26,81,5,8104000,7380000,587000,0
1520752893.27,81,5,8111000,7380000,517000,0
1520752894.28,81,5,8106000,7380000,547000,0
1520752895.29,81,5,8111000,7380000,516000,0
1520752896.29,81,5,8113000,7380000,506000,0
1520752897.3,81,5,8116000,7380000,456000,0
1520752898.3,81,5,8117000,7380000,483000,0
1520752899.31,81,5,8119000,7380000,451000,0
1520752900.32,81,5,8119000,7380000,455000,0
1520752901.32,81,5,8119000,7380000,469000,0
1520752902.33,81,5,8117000,7380000,461000,0
1520752903.34,81,5,8118000,7380000,487000,0
1520752904.35,81,5,8113000,7380000,523000,0
1520752905.36,81,5,8112000,7380000,526000,0
1520752906.36,81,5,8112000,7380000,550000,0
1520752907.37,81,5,8113000,7380000,518000,0
1520752908.38,81,5,8112000,7380000,538000,0
1520752909.39,81,5,8113000,7380000,562000,0
1520752910.39,81,5,8086000,7380000,786000,0
1520752911.4,81,5,8102000,7380000,763000,0
1520752912.41,81,5,8115000,7380000,566000,0
1520752913.42,81,5,8121000,7380000,467000,0
1520752914.43,81,5,8117000,7380000,517000,0
1520752915.44,81,5,8118000,7380000,523000,0
1520752916.44,81,5,8123000,7380000,467000,0
1520752917.45,81,5,8119000,7380000,449000,0
1520752918.46,81,5,8120000,7380000,458000,0
1520752919.47,81,5,8120000,7380000,452000,0
1520752920.48,81,5,8118000,7380000,526000,0
1520752921.48,81,5,8122000,7380000,505000,0
1520752922.49,81,5,8119000,7380000,520000,0
1520752923.5,81,5,8067000,7380000,742000,0
1520752924.51,81,5,8120000,7380000,576000,0
1520752925.52,81,5,8079000,7379000,967000,0
1520752926.53,81,5,8100000,7379000,619000,0
1520752927.53,81,5,8095000,7379000,668000,0
1520752928.54,81,5,8117000,7379000,561000,0
1520752929.55,81,5,8116000,7379000,575000,0
1520752930.56,81,5,8119000,7379000,509000,0
1520752931.57,81,5,8113000,7379000,622000,0
1520752932.57,81,5,8105000,7379000,679000,0
1520752933.58,81,5,8094000,7379000,744000,0
1520752934.59,81,5,8084000,7379000,773000,0
1520752935.61,81,5,8040000,7379000,873000,0
1520752936.61,81,5,8079000,7379000,1041000,0
1520752937.62,81,5,8065000,7379000,956000,0
1520752938.63,81,5,8077000,7379000,1140000,0
1520752939.63,81,5,7991000,7379000,1606000,0
1520752940.64,81,5,8092000,7379000,765000,0
1520752941.65,81,5,8072000,7379000,955000,0
1520752942.66,81,5,8064000,7379000,795000,0
1520752943.68,81,5,8096000,7379000,597000,0
1520752944.68,81,5,8110000,7379000,532000,0
1520752945.69,81,5,8112000,7379000,480000,0
1520752946.7,81,5,8117000,7379000,505000,0
1520752947.71,81,5,8115000,7379000,491000,0
1520752948.72,81,5,8120000,7379000,436000,0
1520752949.73,81,5,8117000,7379000,439000,0
1520752950.73,81,5,8112000,7379000,460000,0
1520752951.74,81,5,8091000,7379000,742000,0
1520752952.74,81,5,8035000,7379000,1280000,0
1520752953.75,81,5,8032000,7379000,1309000,0
1520752954.76,81,5,8031000,7379000,1258000,0
1520752955.76,81,5,8031000,7379000,1197000,0
1520752956.77,81,5,8094000,7379000,671000,0
1520752957.78,81,5,8102000,7379000,645000,0
1520752958.78,81,5,8109000,7379000,541000,0
1520752959.79,81,5,8107000,7379000,487000,0
1520752960.8,81,5,8117000,7379000,450000,0
1520752961.8,81,5,8114000,7379000,447000,0
1520752962.81,81,5,8118000,7379000,447000,0
1520752963.82,81,5,8093000,7379000,582000,0
1520752964.83,81,5,8099000,7379000,624000,0
1520752965.84,81,5,8106000,7379000,562000,0
1520752966.84,81,5,8089000,7379000,739000,0
1520752967.85,81,5,8080000,7379000,769000,0
1520752968.86,81,5,8084000,7379000,761000,0
1520752969.86,81,5,8079000,7379000,741000,0
1520752970.87,81,5,8083000,7379000,691000,0
1520752971.87,81,5,8079000,7379000,818000,0
1520752972.89,81,5,8047000,7379000,950000,0
1520752973.89,81,5,8092000,7379000,646000,0
1520752974.9,81,5,8095000,7379000,654000,0
1520752975.9,81,5,8085000,7379000,779000,0
1520752976.91,81,5,8006000,7379000,1061000,0
1520752977.92,81,5,8086000,7379000,865000,0
1520752978.93,81,5,8064000,7379000,936000,0
1520752979.95,81,5,8085000,7379000,930000,0
1520752980.96,81,5,8066000,7379000,866000,0
1520752981.96,81,5,8090000,7379000,664000,0
1520752982.97,81,5,8106000,7379000,478000,0
1520752983.98,81,5,8111000,7379000,455000,0
1520752984.99,81,5,8107000,7380000,483000,0
1520752985.99,81,5,8081000,7380000,712000,0
1520752987.0,81,5,8090000,7380000,695000,0
1520752988.01,81,5,8102000,7380000,547000,0
1520752989.02,81,5,8076000,7380000,705000,0
1520752990.02,81,5,8072000,7380000,930000,0
1520752991.03,81,5,8074000,7380000,820000,0
1520752992.04,81,5,8083000,7380000,650000,0
1520752993.05,81,5,8088000,7380000,682000,0
1520752994.06,81,5,8073000,7380000,815000,0
1520752995.06,81,5,8038000,7380000,1159000,0
1520752996.07,81,5,8056000,7380000,1080000,0
1520752997.08,81,5,8066000,7380000,1010000,0
1520752998.09,81,5,8052000,7380000,704000,0
1520752999.11,81,5,8084000,7380000,769000,0
1520753000.12,81,5,8082000,7380000,799000,0
1520753001.13,81,5,8071000,7380000,725000,0
1520753002.14,81,5,8088000,7380000,601000,0
1520753003.14,81,5,8094000,7380000,536000,0
1520753004.15,81,5,8109000,7380000,448000,0
1520753005.16,81,5,8110000,7380000,460000,0
1520753006.16,81,5,8105000,7380000,472000,0
1520753007.17,81,5,8076000,7380000,631000,0
1520753008.18,81,5,8092000,7380000,616000,0
1520753009.19,81,5,8098000,7380000,562000,0
1520753010.19,81,5,8104000,7380000,496000,0
1520753011.2,81,5,8104000,7380000,471000,0
1520753012.21,81,5,8085000,7380000,559000,0
1520753013.21,81,5,8082000,7380000,636000,0
1520753014.22,81,5,8109000,7380000,482000,0
1520753015.23,81,5,8091000,7380000,518000,0
1520753016.24,81,5,8085000,7380000,702000,0
1520753017.24,81,5,8079000,7380000,772000,0
1520753018.25,81,5,8082000,7380000,667000,0
1520753019.26,81,5,8093000,7380000,608000,0
1520753020.27,81,5,8106000,7380000,492000,0
1520753021.28,81,5,8109000,7380000,464000,0
1520753022.29,81,5,8112000,7380000,438000,0
1520753023.3,81,5,8110000,7380000,442000,0
1520753024.3,81,5,8111000,7380000,439000,0
1520753025.32,81,5,8114000,7380000,442000,0
1520753026.32,81,5,8074000,7380000,760000,0
1520753027.33,81,5,8098000,7380000,554000,0
1520753028.34,81,5,8106000,7380000,483000,0
1520753029.34,81,5,8105000,7380000,465000,0
1520753030.35,81,5,8114000,7380000,434000,0
1520753031.36,81,5,8113000,7380000,429000,0
1520753032.37,81,5,8114000,7380000,434000,0
1520753033.38,81,5,8111000,7380000,449000,0
1520753034.39,81,5,8114000,7380000,423000,0
1520753035.4,81,5,8112000,7380000,468000,0
1520753036.4,81,5,8112000,7380000,428000,0
1520753037.41,81,5,8114000,7380000,430000,0
1520753038.42,81,5,8110000,7380000,430000,0
1520753039.42,81,5,8114000,7380000,429000,0
1520753040.43,81,5,8114000,7380000,431000,0
1520753041.44,81,5,8116000,7380000,441000,0
1520753042.45,81,5,8116000,7380000,427000,0
1520753043.45,81,5,8116000,7380000,468000,0
1520753044.46,81,5,8114000,7380000,469000,0
1520753045.47,81,5,8116000,7379000,435000,0
1520753046.48,81,5,8114000,7379000,426000,0
1520753047.49,81,5,8118000,7379000,432000,0
1520753048.5,81,5,8104000,7379000,555000,0
1520753049.51,81,5,8104000,7379000,542000,0
1520753050.52,81,5,8103000,7379000,543000,0
